Falso_Azufre,-68.363,-26.801,0.18
Fayal,-28.714,38.576,0.13
Fentale,39.928,8.98,0.1
Fernandina,-91.525,-0.354,0.2
Flores,-31.221,39.464,0.12
Fogo,-24.343,14.949,0.22
Fogo_Pico,-24.343,14.949,0.04
Fonualei,-174.322,-18.024,0.02
Piton_de_la_Fournaise,55.706,-21.245,0.29
Fourpeaked,-153.676,58.767,0.06
Frosty,-162.835,55.067,0.11
Fuego,-90.881,14.474,0.09
Fuji,138.727,35.361,0.11
Fukue-jima,128.865,32.661,0.04
Fuss_Peak,155.246,50.267,0.06
Gabillema,41.259,11.082,0.06
Gada_Ale,40.41,13.974,0.03
Galeras,-77.354,1.218,0.16
Galunggung,108.069,-7.235,0.13
Gamalama,127.332,0.808,0.1
Gamchen,160.703,54.973,0.08
Gamkonora,127.534,1.382,0.08
Garbuna_Group,150.026,-5.417,0.09
Gareloi,-178.795,51.788,0.08
Garibaldi,-123.01,49.849,0.11
Gaua,167.514,-14.282,0.18
Gede,106.964,-6.771,0.19
Glacier_Peak,-121.114,48.112,0.08
Golaya,157.791,52.262,0.03
Gorely,158.029,52.557,0.08
Gorny_Institute,160.197,57.329,0.09
Graciosa,-27.967,39.021,0.04
Great_Sitkin,-176.112,52.076,0.08
Griggs,-155.092,58.352,0.06
"Grille,_La",43.34,-11.464,0.19
Guagua_Pichincha,-78.599,-0.177,0.21
Guallatiri,-69.09,-18.423,0.05
Guayaques,-67.567,-22.899,0.08
Guazapa,-89.115,13.9,0.08
Guguan,145.845,17.307,0.02
Guntur,107.84,-7.143,0.09
Hachijo-jima_Nishi-yama,139.762,33.138,0.04
Hakone,139.021,35.233,0.21
Haku-san,136.771,36.154,0.07
Haleakala,-156.257,20.707,0.38
Halla,126.529,33.36,0.25
Hanish,42.732,13.722,0.09
Hargy,151.098,-5.336,0.04
Haruna,138.85,36.477,0.17
Hasan_Dagi,34.164,38.126,0.12
Hayli_Gubbi,40.722,13.509,0.05
Heard,73.517,-53.104,0.17
Herbert,-170.116,52.741,0.08
Hierro,-18.041,27.728,0.17
Hiri,127.316,0.897,0.03
Hiuchi,139.288,36.955,0.05
Homa_Mountain,34.497,-0.387,0.06
Hood,-121.698,45.373,0.14
Hornopirn,-72.434,-41.879,0.05
Hualalai,-155.865,19.688,0.18
"Hudson,_Cerro",-72.923,-45.953,0.21
"Huila,_Nevado_del",-76.028,2.923,0.14
Ibu,127.63,1.491,0.06
Ichinsky,157.719,55.677,0.13
Ijen,114.261,-8.063,0.08
Iliboleng,123.256,-8.346,0.07
Ililabalekan,123.384,-8.545,0.08
Iliwerung,123.563,-8.52,0.04
Illiniza,-78.716,-0.663,0.14
Ilyinsky,157.203,51.499,0.06
Imbabura,-78.181,0.261,0.07
"Incahuasi,_Nevado_de",-68.297,-27.033,0.11
Inielika,120.975,-8.715,0.06
Inierie,120.954,-8.878,0.05
Ipala,-89.639,14.551,0.05
Iraya,122.011,20.466,0.05
Iraz,-83.854,9.976,0.25
Iriga,123.45,13.458,0.06
Irruputuncu,-68.553,-20.732,0.04
Isanotski,-163.731,54.768,0.1
Isarog,123.372,13.659,0.11
Ischia,13.895,40.73,0.07
Isluga,-68.82,-19.155,0.08
Iwaki,140.303,40.656,0.07
Iwate,141.001,39.853,0.08
Iya,121.641,-8.892,0.03
Iyang-Argapura,113.566,-7.965,0.35
Izalco,-89.633,13.813,0.02
Iztacchuatl,-98.643,19.178,0.15
Jailolo,127.439,1.08,0.03
Jalua,39.818,15.035,0.09
Jefferson,-121.8,44.673,0.09
Jocotitln,-99.759,19.737,0.08
Kaba,102.615,-3.523,0.11
Kagamil,-169.717,52.972,0.03
Kalatungan,124.802,7.955,0.21
Kambalny,156.875,51.305,0.09
Kamen,160.595,56.018,0.06
Kanaga,-177.163,51.925,0.04
Kanlaon,123.13,10.409,0.18
Kao,-175.016,-19.669,0.04
Karaca_Dag,39.828,37.712,0.27
Karang,106.049,-6.269,0.08
Karangetang_(Api_Siau),125.406,2.78,0.08
Karisimbi,29.45,-1.506,0.12
Karkar,145.977,-4.678,0.21
Karthala,43.367,-11.759,0.25
Karymsky,159.443,54.048,0.03
Kasatochi,-175.513,52.169,0.02
Kasbek,44.518,42.696,0.25
Katmai,-154.954,58.279,0.05
Kawi-Butak,112.465,-7.956,0.15
Kelimutu,121.799,-8.763,0.05
Kelut,112.314,-7.935,0.13
Kendang,107.708,-7.245,0.09
Kerinci,101.264,-1.698,0.1
Ketoi,152.438,47.341,0.08
Khangar,157.406,54.761,0.07
Kharimkotan,154.511,49.114,0.06
Khodutka,157.71,52.062,0.06
Kieyo,33.792,-9.229,0.05
Kilimanjaro,37.352,-3.077,0.6
Kirishima,130.861,31.934,0.17
Kiska,177.603,52.102,0.06
Kita-Iwo-jima,141.282,25.43,0.02
Kizimen,160.32,55.13,0.05
Klabat,125.031,1.453,0.08
Kliuchevskoi,160.641,56.055,0.1
Kolokol_Group,150.048,46.043,0.08
Komaga-take,140.677,42.063,0.06
Komarov,160.722,55.032,0.03
Korosi,36.126,0.76,0.07
Korovin,-174.167,52.381,0.06
Koryaksky,158.711,53.32,0.09
Koshelev,156.754,51.356,0.09
"Koussi,_Emi",18.551,19.793,0.42
Krasheninnikov,160.269,54.595,0.05
Kronotsky,160.533,54.753,0.11
Ksudach,157.583,51.764,0.2
Kuchinoerabu-jima,130.213,30.439,0.05
Kuchino-shima,129.925,29.967,0.04
Kuju,131.249,33.086,0.1
Kunyit,101.489,-2.276,0.07
Kupreanof,-159.792,56.013,0.09
Kurikoma,140.788,38.961,0.12
Kurub,41.206,11.884,0.06
Kusatsu-Shirane,138.525,36.67,0.14
La_Palma,-17.837,28.569,0.14
Lamington,148.161,-8.932,0.08
Lamongan,113.346,-7.976,0.05
Langila,148.392,-5.538,0.08
Lann,-71.503,-39.638,0.09
Lassen_Volc_Center,-121.506,40.488,0.03
Lastarria,-68.508,-25.169,0.06
Late,-174.649,-18.805,0.04
Latukan,124.438,7.654,0.02
Lautaro,-73.507,-49.02,0.13
Lawu,111.194,-7.628,0.13
"Lengai,_Ol_Doinyo",35.914,-2.764,0.07
Lewotobi,122.781,-8.555,0.09
Lewotolo,123.507,-8.274,0.06
Liamuiga,-62.803,17.368,0.05
Licancabur,-67.886,-22.834,0.05
Lihir,152.62,-3.182,0.09
Lipari,14.934,38.505,0.07
Little_Sitkin,178.537,51.953,0.04
Llaima,-71.732,-38.696,0.07
Llullaillaco,-68.537,-24.72,0.1
Lokon-Empung_Lokon,124.796,1.356,0.02
Lolo,150.508,-5.466,0.04
Loloru,155.603,-6.497,0.07
Long_Island,147.09,-5.257,0.21
"Longav,_Nevado_de",-71.165,-36.197,0.08
Longonot,36.447,-0.917,0.07
Lonquimay,-71.587,-38.38,0.06
Lopevi,168.343,-16.51,0.06
Lscar,-67.74,-23.369,0.06
Lubukraya,99.21,1.478,0.07
Lurus,113.58,-7.74,0.04
Ma_Alalta,40.184,13.012,0.1
Maca,-73.17,-45.106,0.06
Machn,-75.389,4.486,0.04
Maderas,-85.516,11.445,0.07
Mageik,-155.255,58.195,0.07
Mahagnao,124.888,10.881,0.08
Mahawu,124.865,1.351,0.05
Maipo,-69.832,-34.164,0.07
Makaturing,124.4,7.639,0.17
Makian,127.391,0.318,0.09
Makushin,-166.94,53.886,0.13
Malabar,107.625,-7.152,0.14
"Malinche,_La",-98.033,19.231,0.18
Malindang,123.635,8.217,0.22
Malindig,122.013,13.241,0.08
Malintang,99.673,0.485,0.12
Mallahle,41.673,13.302,0.08
